,matchLink,matchId,teamA,teamB,kefA,kefb,win
0,https://www.hltv.org/matches/2321961/tainted-minds-vs-order-iem-sydney-2018-oceania-closed-qualifier,2321961,7517,8668,2.58,1.46,1
1,https://www.hltv.org/matches/2322027/kinguin-vs-enyoy-fusionbet-masters,2322027,6134,8721,1.35,3.0,1
2,https://www.hltv.org/matches/2322105/nexus-vs-vexed-gocase-challenge,2322105,7187,6375,1.67,2.11,0
3,https://www.hltv.org/matches/2321925/quantum-bellator-fire-vs-enyoy-fusionbet-masters,2321925,7367,8721,1.83,1.9,0
4,https://www.hltv.org/matches/2321977/gameagents-vs-imperial-forcedropnet-cup-1,2321977,6652,7701,3.53,1.26,1
5,https://www.hltv.org/matches/2322116/burning-blades-vs-x-kom-gocase-challenge,2322116,9029,8846,3.91,1.21,1
6,https://www.hltv.org/matches/2322093/dreameaters-vs-nemiga-betspawn-cup-nordic-vs-cis,2322093,8305,7969,3.99,1.2,0
7,https://www.hltv.org/matches/2322117/windigo-vs-sprout-starseries-i-league-season-5-europe-qualifier,2322117,8513,8637,1.38,2.91,0
8,https://www.hltv.org/matches/2322107/bpro-vs-euronics-dmarketcom-spring-cup,2322107,6762,6343,2.73,1.4,1
9,https://www.hltv.org/matches/2322136/singularity-vs-red-reserve-starseries-i-league-season-5-europe-qualifier,2322136,6978,7613,1.73,2.07,0
10,https://www.hltv.org/matches/2322029/nexus-vs-berzerk-gfinity-winter-series-2018-europe,2322029,7187,5121,1.49,2.45,0
11,https://www.hltv.org/matches/2322118/ago-vs-extatus-starseries-i-league-season-5-europe-qualifier,2322118,8068,6745,1.31,3.27,0
12,https://www.hltv.org/matches/2321969/furia-vs-c4-esl-brazil-premier-league-season-5,2321969,8297,8051,1.1,8.22,0
13,https://www.hltv.org/matches/2322120/godsent-vs-kinguin-starseries-i-league-season-5-europe-qualifier,2322120,6902,6134,1.39,2.92,0
14,https://www.hltv.org/matches/2322138/teamone-vs-eunited-starseries-i-league-season-5-north-america-qualifier,2322138,6947,7106,3.27,1.31,0
15,https://www.hltv.org/matches/2321970/c4-vs-furia-esl-brazil-premier-league-season-5,2321970,8051,8297,11.35,1.05,1
16,https://www.hltv.org/matches/2321971/yeah-vs-wild-esl-brazil-premier-league-season-5,2321971,8728,8895,1.11,7.25,1
17,https://www.hltv.org/matches/2321992/vikings-vs-fam143-esea-main-season-27-north-america,2321992,8253,8815,2.31,1.56,1
18,https://www.hltv.org/matches/2321972/wild-vs-yeah-esl-brazil-premier-league-season-5,2321972,8895,8728,6.66,1.15,0
19,https://www.hltv.org/matches/2321962/chiefs-vs-grayhound-iem-sydney-2018-oceania-closed-qualifier,2321962,6010,8008,2.91,1.36,1
20,https://www.hltv.org/matches/2321963/legacy-vs-order-iem-sydney-2018-oceania-closed-qualifier,2321963,6468,8668,6.55,1.09,1
21,https://www.hltv.org/matches/2322114/ago-vs-alternate-attax-fusionbet-masters,2322114,8068,4501,1.41,2.74,0
22,https://www.hltv.org/matches/2322143/noreg-vs-deepdarkdanger-gocase-challenge,2322143,8473,8462,1.13,4.97,0
23,https://www.hltv.org/matches/2322146/godsent-vs-pride-fusionbet-masters,2322146,6902,6896,1.09,6.11,0
24,https://www.hltv.org/matches/2322142/epg-vs-windigo-forcedropnet-cup-1,2322142,7489,8513,4.45,1.16,1
25,https://www.hltv.org/matches/2322147/red-reserve-vs-kinguin-starseries-i-league-season-5-europe-qualifier,2322147,7613,6134,2.03,1.73,1
26,https://www.hltv.org/matches/2322109/ldlc-vs-euronics-gocase-challenge,2322109,4674,6343,1.72,2.02,0
27,https://www.hltv.org/matches/2322111/valiance-vs-havu-esea-main-season-27-europe,2322111,8481,7865,1.32,3.17,0
28,https://www.hltv.org/matches/2322122/tricked-vs-playing-ducks-legend-series-5,2322122,4602,5009,1.27,4.89,0
29,https://www.hltv.org/matches/2322144/enyoy-vs-syman-gocase-challenge,2322144,8721,8772,1.2,4.05,0
30,https://www.hltv.org/matches/2322104/kinguin-vs-extatus-x-betco-invitational-2,2322104,6134,6745,1.68,2.11,0
31,https://www.hltv.org/matches/2322094/enyoy-vs-epiphany-bolt-betspawn-cup-nordic-vs-cis,2322094,8721,6220,1.2,3.98,0
32,https://www.hltv.org/matches/2322112/euronics-vs-epsilon-esea-main-season-27-europe,2322112,6343,4688,1.7,2.06,0
33,https://www.hltv.org/matches/2322148/windigo-vs-ago-starseries-i-league-season-5-europe-qualifier,2322148,8513,8068,1.96,1.8,1
34,https://www.hltv.org/matches/2322149/singularity-vs-godsent-starseries-i-league-season-5-europe-qualifier,2322149,6978,6902,3.3,1.3,1
35,https://www.hltv.org/matches/2322110/fnatic-academy-vs-gameagents-gocase-challenge,2322110,7169,6652,1.79,1.93,0
36,https://www.hltv.org/matches/2322141/ha-masse-vs-quantum-bellator-fire-legend-series-5,2322141,7472,7367,8.12,1.77,1
37,https://www.hltv.org/matches/2322137/rogue-vs-dignitas-starseries-i-league-season-5-north-america-qualifier,2322137,7157,5422,1.24,3.72,0
38,https://www.hltv.org/matches/2321993/faze-vs-envy-dreamhack-masters-marseille-2018,2321993,6667,5991,1.32,3.24,0
39,https://www.hltv.org/matches/2321994/mousesports-vs-valiance-dreamhack-masters-marseille-2018,2321994,4494,8481,1.19,4.33,0
40,https://www.hltv.org/matches/2322157/chiefs-vs-ground-zero-esl-australia-nz-championship-season-6,2322157,6010,8536,1.1,5.72,0
41,https://www.hltv.org/matches/2322158/ground-zero-vs-chiefs-esl-australia-nz-championship-season-6,2322158,8536,6010,5.5,1.11,0
42,https://www.hltv.org/matches/2321995/cloud9-vs-g2-dreamhack-masters-marseille-2018,2321995,5752,5995,2.07,1.71,0
43,https://www.hltv.org/matches/2321996/sk-vs-nip-dreamhack-masters-marseille-2018,2321996,6137,4411,1.49,2.53,1
44,https://www.hltv.org/matches/2321997/fnatic-vs-tyloo-dreamhack-masters-marseille-2018,2321997,4991,4863,1.22,4.04,0
45,https://www.hltv.org/matches/2321998/liquid-vs-gambit-dreamhack-masters-marseille-2018,2321998,5973,6651,1.36,3.03,0
46,https://www.hltv.org/matches/2321999/natus-vincere-vs-renegades-dreamhack-masters-marseille-2018,2321999,4608,6211,1.34,3.12,0
47,https://www.hltv.org/matches/2322150/sprout-vs-extatus-starseries-i-league-season-5-europe-qualifier,2322150,8637,6745,2.35,1.55,1
