,matchId,teamAId,teamBId,kefsA,kefsB
0,2321961,7517,8668,2.58,1.46
1,2322027,6134,8721,1.35,3.0
2,2322105,7187,6375,1.67,2.11
3,2321925,7367,8721,1.83,1.9
4,2321977,6652,7701,3.53,1.26
5,2322116,9029,8846,3.91,1.21
6,2322093,8305,7969,3.99,1.2
7,2322117,8513,8637,1.38,2.91
8,2322107,6762,6343,2.73,1.4
9,2322136,6978,7613,1.73,2.07
10,2322029,7187,5121,1.49,2.45
11,2322118,8068,6745,1.31,3.27
12,2321969,8297,8051,1.1,8.22
13,2322120,6902,6134,1.39,2.92
14,2322138,6947,7106,3.27,1.31
15,2321970,8051,8297,11.35,1.05
16,2321971,8728,8895,1.11,7.25
17,2321992,8253,8815,2.31,1.56
18,2321972,8895,8728,6.66,1.15
19,2321962,6010,8008,2.91,1.36
20,2321963,6468,8668,6.55,1.09
21,2322114,8068,4501,1.41,2.74
22,2322143,8473,8462,1.13,4.97
23,2322146,6902,6896,1.09,6.11
24,2322142,7489,8513,4.45,1.16
25,2322147,7613,6134,2.03,1.73
26,2322121,8209,7367,3.58,1.61
27,2322109,4674,6343,1.72,2.02
28,2322111,8481,7865,1.32,3.17
29,2322122,4602,5009,1.27,4.89
30,2322144,8721,8772,1.2,4.05
31,2322104,6134,6745,1.68,2.11
32,2322094,8721,6220,1.2,3.98
33,2322112,6343,4688,1.7,2.06
34,2322148,8513,8068,1.96,1.8
35,2322149,6978,6902,3.3,1.3
36,2322110,7169,6652,1.79,1.93
37,2322141,7472,7367,8.12,1.77
38,2322137,7157,5422,1.24,3.72
39,2321993,6667,5991,1.32,3.24
40,2321994,4494,8481,1.19,4.33
41,2322157,6010,8536,1.1,5.72
42,2322158,8536,6010,5.5,1.11
43,2321995,5752,5995,2.07,1.71
44,2321996,6137,4411,1.49,2.53
45,2321997,4991,4863,1.22,4.04
46,2321998,5973,6651,1.36,3.03
47,2321999,4608,6211,1.34,3.12
48,2322150,8637,6745,2.35,1.55
49,2322000,6665,5929,1.53,2.41
50,2322001,5991,5995,3.51,1.27
51,2322002,8481,6137,4.5,1.17
52,2322095,5319,8504,1.67,2.09
53,2322129,4674,6978,1.88,1.87
54,2322003,4863,6211,2.58,1.46
55,2322145,7969,7187,2.78,1.39
56,2322113,8730,5153,5.46,1.13
57,2322131,4674,7367,1.74,2.03
58,2322004,6651,5929,3.2,1.32
59,2322153,6134,6978,1.52,2.44
60,2322126,8263,7946,2.14,1.64
61,2322130,7367,4501,2.55,1.5
62,2322096,8723,7017,1.65,2.13
63,2322166,6619,8051,1.58,2.26
64,2322167,9035,8113,3.89,1.19
65,2322168,7157,6947,1.52,2.39
66,2322152,7106,5422,1.46,2.59
67,2322005,6667,5752,1.32,3.28
68,2322006,4494,4411,1.61,2.24
69,2322007,4991,4608,1.78,1.98
70,2322124,7020,7489,1.63,2.86
71,2322008,5973,6665,2.97,1.37
72,2322132,8120,6745,1.65,2.16
73,2322125,8850,4688,19.26,1.02
74,2322133,6343,7169,1.34,3.07
75,2322171,6745,8513,3.03,1.35
76,2322134,8120,6343,1.67,2.13
77,2322170,8120,4468,1.26,3.56
78,2322106,6978,7681,1.25,3.55
79,2322187,6947,7106,2.18,1.64
80,2322174,8008,7567,1.33,3.22
81,2322175,6248,7517,3.43,1.29
82,2321706,7106,7726,1.47,2.53
83,2322172,7092,8587,1.21,3.82
84,2322176,7517,7567,1.32,3.24
85,2322177,6248,8008,6.89,1.1
86,2322173,9037,9030,1.17,4.26
87,2322178,7567,8008,3.55,1.26
88,2322014,5991,6667,4.19,1.21
89,2322015,6137,4494,1.75,2.01
90,2322016,6211,4991,4.03,1.23
91,2322198,8721,5319,1.4,2.75
92,2322154,7489,6652,1.69,2.05
93,2322188,7898,7017,1.23,3.85
94,2322194,6094,8847,1.46,2.63
95,2322017,6651,5973,2.98,1.37
96,2322193,8783,7870,2.9,1.36
97,2322190,6418,6417,1.37,2.8
98,2322189,8135,7489,2.77,1.42
99,2322199,7820,5988,2.84,1.39
100,2322191,6419,6417,1.79,1.94
101,2322195,6762,4982,1.29,3.27
102,2322192,6420,6419,1.54,2.28
103,2321973,7830,9013,1.37,2.84
104,2322139,6301,7726,1.72,2.05
105,2321974,9013,7830,2.95,1.34
106,2321975,8900,7653,4.51,1.15
107,2322179,8668,6774,1.3,3.31
108,2322180,7354,7962,1.09,6.2
109,2321976,7653,8900,1.78,3.77
110,2322140,5005,7801,1.37,2.92
111,2322196,8587,9030,3.18,1.31
112,2322181,8668,7354,1.76,2.07
113,2322182,6774,7962,1.22,4.36
114,2322197,7092,9037,3.76,1.22
115,2322183,6774,7354,4.22,1.21
116,2322018,4608,4494,2.03,1.74
117,2322019,5752,6651,1.39,2.81
118,2322202,4501,5121,1.35,2.98
119,2322215,6343,8481,2.0,1.73
120,2322020,6665,6667,1.57,2.33
121,2322223,6094,9040,1.37,2.8
122,2322203,6343,6693,1.23,3.72
123,2322214,6094,7820,1.63,2.19
124,2322224,7009,7299,2.44,1.49
125,2322213,7898,7489,1.6,2.24
126,2322225,7367,6343,2.11,1.67
127,2321751,7653,6799,1.12,5.36
128,2322021,4411,4991,1.87,1.88
129,2322226,6652,9041,1.42,2.67
130,2322222,5988,8847,1.36,3.01
131,2322227,5121,6693,2.22,1.61
132,2322212,7017,8135,1.79,1.97
133,2321861,6799,7653,5.36,1.12
134,2321753,8574,8113,2.89,1.37
135,2321863,8113,8574,1.39,2.83
136,2322221,7726,7801,2.4,1.53
137,2322184,8008,8668,2.14,1.67
138,2322220,6301,5005,2.38,1.54
139,2322185,7517,7354,2.82,1.4
140,2322186,8008,7354,2.24,1.61
141,2322022,4608,6651,1.37,2.92
142,2322023,6665,4991,1.35,3.04
143,2322238,4501,6343,1.82,1.92
144,2322024,4608,6665,2.3,1.59
145,2321762,8574,8895,1.75,1.96
146,2322240,4501,6343,1.31,3.24
147,2321872,8895,8574,2.11,1.64
148,2322241,7820,8847,1.98,1.77
